"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 04 12:56:41 WIB 2025","Sun May 04 12:56:41 WIB 2025","0","","CalculateTest","","CalculateTest","testDivide_NegativeNumbers","Menguji operasi pembagian dua buah input bilangan negatif","Menguji operasi pembagian dua buah input bilangan negatif"
"passed","Sun May 04 12:56:44 WIB 2025","Sun May 04 12:56:44 WIB 2025","2","","ValidateTest","","ValidateTest","testIsNumeric_NonNumericLetters","Menguji input berupa huruf non-numerik","Menguji input invalid berupa huruf"
"passed","Sun May 04 12:56:44 WIB 2025","Sun May 04 12:56:44 WIB 2025","18","","MainAppTest","","MainAppTest","testInputNumber_InvalidThenValid","Menguji input tidak valid: diminta input ulang hingga valid","Menguji inputNumber() saat input pertama tidak valid dan input kedua valid."
"passed","Sun May 04 12:56:40 WIB 2025","Sun May 04 12:56:40 WIB 2025","0","","CalculateTest","","CalculateTest","testSubtract_PositiveAndNegativeNumbers","Menguji operasi pengurangan bilangan positif dan negatif","Menguji operasi pengurangan bilangan positif dan negatif"
"passed","Sun May 04 12:56:40 WIB 2025","Sun May 04 12:56:40 WIB 2025","0","","CalculateTest","","CalculateTest","testAdd_PositiveNumbers","Menguji operasi penambahan dua buah input bilangan positif","Menguji operasi penambahan dua buah input bilangan positif"
"passed","Sun May 04 12:56:41 WIB 2025","Sun May 04 12:56:41 WIB 2025","80","","MainAppTest","","MainAppTest","testAskRepeat_InputY_ReturnsTrue","Menguji input valid 'y' pada askRepeat","Menguji bahwa fungsi askRepeat mengembalikan 'true' ketika input valid 'y' diberikan."
"passed","Sun May 04 12:56:41 WIB 2025","Sun May 04 12:56:41 WIB 2025","0","","CalculateTest","","CalculateTest","testSubtract_OneOperandIsZero","Menguji operasi pengurangan dua buah input dengan salah satu bilangan nol","Menguji operasi pengurangan dua buah input dengan salah satu bilangan nol"
"passed","Sun May 04 12:56:44 WIB 2025","Sun May 04 12:56:44 WIB 2025","34","","MainAppTest","","MainAppTest","testInputOperator_ValidInput_WithPromptCheck","Menguji input operator valid: prompt ditampilkan dan input dikembalikan","Menguji inputOperator() saat pengguna langsung menginput operator valid (+, -, *, /) dan prompt ditampilkan."
"passed","Sun May 04 12:56:40 WIB 2025","Sun May 04 12:56:40 WIB 2025","0","","CalculateTest","","CalculateTest","testAdd_PositiveAndNegativeNumbers","Menguji operasi penambahan bilangan positif dan negatif","Menguji operasi penambahan bilangan positif dan negatif"
"passed","Sun May 04 12:56:44 WIB 2025","Sun May 04 12:56:44 WIB 2025","3","","ValidateTest","","ValidateTest","testIsNumeric_PositiveNumber","Menguji input berupa angka positif","Menguji input valid berupa angka positif"
"passed","Sun May 04 12:56:41 WIB 2025","Sun May 04 12:56:41 WIB 2025","43","","MainAppTest","","MainAppTest","testRunCalculator_RunOnceThenExit","Menguji kalkulator dijalankan satu kali lalu keluar","Menguji runCalculator() saat pengguna langsung memilih 'n' setelah perhitungan."
"passed","Sun May 04 12:56:44 WIB 2025","Sun May 04 12:56:44 WIB 2025","63","","MainAppTest","","MainAppTest","testRunCalculator_RunTwiceThenExit","Menguji kalkulator dijalankan dua kali lalu keluar","Menguji runCalculator() saat pengguna memilih 'y' lalu 'n'."
"passed","Sun May 04 12:56:41 WIB 2025","Sun May 04 12:56:41 WIB 2025","0","","CalculateTest","","CalculateTest","testDivide_PositiveNumbers","Menguji operasi pembagian dua buah input bilangan positif","Menguji operasi pembagian dua buah input bilangan positif"
"passed","Sun May 04 12:56:41 WIB 2025","Sun May 04 12:56:41 WIB 2025","15","","MainAppTest","","MainAppTest","testIsValidOperatorInput_InvalidOperator","Memvalidasi operator tidak valid","Menguji isValidOperatorInput() saat operator tidak valid."
"passed","Sun May 04 12:56:40 WIB 2025","Sun May 04 12:56:40 WIB 2025","0","","CalculateTest","","CalculateTest","testDivide_BothOperandsAreZero","Menguji operasi pembagian dua buah input bilangan nol","Menguji operasi pembagian dua buah input bilangan nol"
"passed","Sun May 04 12:56:44 WIB 2025","Sun May 04 12:56:44 WIB 2025","0","","MainAppTest","","MainAppTest","testGetOperatorInput_ReturnsUserInput","Menguji pengambilan input operator dari pengguna","Menguji bahwa getOperatorInput() mencetak prompt dan membaca input operator dengan benar."
"passed","Sun May 04 12:56:41 WIB 2025","Sun May 04 12:56:41 WIB 2025","0","","ComputeTest","","ComputeTest","testPerformCalculation_Addition","Test Perform Calculation - Addition","Menguji pemanggilan modul add"
"passed","Sun May 04 12:56:44 WIB 2025","Sun May 04 12:56:44 WIB 2025","16","","MainAppTest","","MainAppTest","testInputNumber_InputValid","Menguji input valid: diterima dan dikonversi menjadi angka","Menguji inputNumber() saat pengguna langsung menginput angka valid."
"passed","Sun May 04 12:56:44 WIB 2025","Sun May 04 12:56:44 WIB 2025","0","","ValidateTest","","ValidateTest","testIsInRange_AboveUpperBound","Menguji input lebih besar dari batas atas","Menguji input angka yang melebihi batas atas dari rentang valid (32,767)"
"passed","Sun May 04 12:56:40 WIB 2025","Sun May 04 12:56:40 WIB 2025","0","","CalculateTest","","CalculateTest","testDivide_PositiveAndNegativeNumbers","Menguji operasi pembagian bilangan positif dan negatif","Menguji operasi pembagian bilangan positif dan negatif"
"passed","Sun May 04 12:56:40 WIB 2025","Sun May 04 12:56:40 WIB 2025","0","","CalculateTest","","CalculateTest","testMultiply_PositiveAndNegativeNumbers","Menguji operasi perkalian bilangan positif dan negatif","Menguji operasi perkalian bilangan positif dan negatif"
"passed","Sun May 04 12:56:44 WIB 2025","Sun May 04 12:56:44 WIB 2025","16","","MainAppTest","","MainAppTest","testAskRepeat_InputN_ReturnsFalse","Menguji input valid 'n' pada askRepeat","Menguji bahwa fungsi askRepeat mengembalikan 'false' ketika input valid 'n' diberikan."
"passed","Sun May 04 12:56:44 WIB 2025","Sun May 04 12:56:44 WIB 2025","2","","ValidateTest","","ValidateTest","testIsNumeric_NegativeNumber","Menguji input berupa angka negatif","Menguji input valid berupa angka negatif"
"passed","Sun May 04 12:56:40 WIB 2025","Sun May 04 12:56:40 WIB 2025","0","","CalculateTest","","CalculateTest","testAdd_OneOperandIsZero","Menguji operasi penambahan dua buah input dengan salah satu bilangan nol","Menguji operasi penambahan dua buah input dengan salah satu bilangan nol"
"passed","Sun May 04 12:56:41 WIB 2025","Sun May 04 12:56:43 WIB 2025","2339","","MainAppTest","","MainAppTest","testPerformCalculationFlow_OneCalculation_NoMockScanner","Menguji alur perhitungan satu kali dengan input yang valid","Menguji alur perhitungan satu kali dengan input yang valid"
"passed","Sun May 04 12:56:40 WIB 2025","Sun May 04 12:56:40 WIB 2025","16","","CalculateTest","","CalculateTest","testDivide_DenominatorIsZero","Menguji operasi pembagian dengan penyebut nol","Menguji operasi pembagian dengan penyebut nol"
"passed","Sun May 04 12:56:40 WIB 2025","Sun May 04 12:56:40 WIB 2025","0","","CalculateTest","","CalculateTest","testAdd_BothOperandsAreZero","Menguji operasi penambahan dua buah input bilangan nol","Menguji operasi penambahan dua buah input bilangan nol"
"passed","Sun May 04 12:56:41 WIB 2025","Sun May 04 12:56:41 WIB 2025","3","","ComputeTest","","ComputeTest","testPerformCalculation_Multiplication","Test Perform Calculation - Multiplication","Menguji pemanggilan modul multiply"
"passed","Sun May 04 12:56:41 WIB 2025","Sun May 04 12:56:41 WIB 2025","0","","MainAppTest","","MainAppTest","testGetInput_ReturnsUserInput","Menguji pengambilan input dari pengguna","Menguji bahwa getInput() mencetak prompt dan membaca input dari pengguna dengan benar."
"passed","Sun May 04 12:56:44 WIB 2025","Sun May 04 12:56:44 WIB 2025","0","","MainAppTest","","MainAppTest","testInputOperator_InvalidThenValidInput_WithPromptAndErrorCheck","Menguji input operator tidak valid, lalu valid disertai output prompt dan error","Menguji inputOperator() saat input pertama tidak valid (misal: '%'), kemudian input valid (misal: '*'), serta output prompt dan error muncul."
"passed","Sun May 04 12:56:45 WIB 2025","Sun May 04 12:56:45 WIB 2025","4","","ValidateTest","","ValidateTest","testIsInRange_BelowLowerBound","Menguji input lebih kecil dari batas bawah","Menguji input angka yang lebih kecil dari batas bawah rentang valid (-32,768)"
"passed","Sun May 04 12:56:44 WIB 2025","Sun May 04 12:56:44 WIB 2025","79","","MainAppTest","","MainAppTest","testIsNumericFalse","Menguji pemanggilan fungsi isNumeric menghasilkan false","Menguji apakah fungsi isNumeric menghasilkan false."
"passed","Sun May 04 12:56:40 WIB 2025","Sun May 04 12:56:40 WIB 2025","16","","CalculateTest","","CalculateTest","testSubtract_PositiveNumbers","Menguji operasi pengurangan dua buah input bilangan positif","Menguji operasi pengurangan dua buah input bilangan positif"
"passed","Sun May 04 12:56:41 WIB 2025","Sun May 04 12:56:41 WIB 2025","7","","MainAppTest","","MainAppTest","testIsValidOperatorInput_DivideByZero","Menguji operator pembagian tapi num2 == 0","Menguji isValidOperatorInput() saat operator adalah '/' dan pembaginya nol."
"passed","Sun May 04 12:56:44 WIB 2025","Sun May 04 12:56:44 WIB 2025","2","","ValidateTest","","ValidateTest","testIsValidOperator_Invalid","Menguji input operator tidak valid karena bukan (+, -, *, /)","Menguji input operator tidak valid karena bukan (+, -, *, /)"
"passed","Sun May 04 12:56:40 WIB 2025","Sun May 04 12:56:40 WIB 2025","0","","CalculateTest","","CalculateTest","testMultiply_PositiveNumbers","Menguji operasi perkalian dua buah input bilangan positif","Menguji operasi perkalian dua buah input bilangan positif"
"passed","Sun May 04 12:56:40 WIB 2025","Sun May 04 12:56:40 WIB 2025","49","","CalculateTest","","CalculateTest","testDivide_NumeratorIsZero","Menguji operasi pembagian dengan pembilang nol","Menguji operasi pembagian dengan pembilang nol"
"passed","Sun May 04 12:56:44 WIB 2025","Sun May 04 12:56:44 WIB 2025","16","","MainAppTest","","MainAppTest","testDisplayResult_OutputCorrect","TC1 - Menampilkan hasil perhitungan","Menguji displayResult() untuk memastikan output hasil perhitungan ditampilkan dengan benar."
"passed","Sun May 04 12:56:44 WIB 2025","Sun May 04 12:56:44 WIB 2025","10","","ValidateTest","","ValidateTest","testIsNumeric_MixedCharacters","Menguji input berupa campuran angka dan huruf","Menguji input invalid berupa campuran angka dan huruf"
"passed","Sun May 04 12:56:44 WIB 2025","Sun May 04 12:56:44 WIB 2025","2","","ValidateTest","","ValidateTest","testIsInRange_ValidRange","Menguji input dalam rentang valid","Menguji input angka dalam rentang valid (-32,768 hingga 32,767)"
"passed","Sun May 04 12:56:44 WIB 2025","Sun May 04 12:56:44 WIB 2025","15","","MainAppTest","","MainAppTest","testAskRepeat_InvalidThenValidInput","Input tidak valid meminta input ulang","Menguji fungsi askRepeat() saat input pertama tidak valid, kemudian valid."
"passed","Sun May 04 12:56:44 WIB 2025","Sun May 04 12:56:44 WIB 2025","0","","ValidateTest","","ValidateTest","testIsNumeric_EmptyString","Menguji input kosong","Menguji input invalid berupa string kosong"
"passed","Sun May 04 12:56:41 WIB 2025","Sun May 04 12:56:41 WIB 2025","0","","CalculateTest","","CalculateTest","testMultiply_BothOperandsAreZero","Menguji operasi perkalian dua buah input bilangan nol","Menguji operasi perkalian dua buah input bilangan nol"
"passed","Sun May 04 12:56:44 WIB 2025","Sun May 04 12:56:44 WIB 2025","32","","MainAppTest","","MainAppTest","testPerformCalculationFlow_InvalidInput_NoMockScanner","Menguji alur perhitungan satu kali dengan input yang tidak valid","Menguji alur perhitungan satu kali dengan input yang tidak valid"
"passed","Sun May 04 12:56:40 WIB 2025","Sun May 04 12:56:40 WIB 2025","2","","CalculateTest","","CalculateTest","testAdd_NegativeNumbers","Menguji operasi penambahan dua buah input bilangan negatif","Menguji operasi penambahan dua buah input bilangan negatif"
"passed","Sun May 04 12:56:40 WIB 2025","Sun May 04 12:56:40 WIB 2025","0","","CalculateTest","","CalculateTest","testMultiply_NegativeNumbers","Menguji operasi perkalian dua buah input bilangan negatif","Menguji operasi perkalian dua buah input bilangan negatif"
"passed","Sun May 04 12:56:44 WIB 2025","Sun May 04 12:56:44 WIB 2025","26","","MainAppTest","","MainAppTest","testIsValidOperatorInput_ValidNonDivision","Menguji operator valid dan bukan pembagian nol","Menguji isValidOperatorInput() saat operator valid dan bukan pembagian."
"passed","Sun May 04 12:56:44 WIB 2025","Sun May 04 12:56:44 WIB 2025","2","","ValidateTest","","ValidateTest","testIsValidOperator_Valid","Menguji input operator valid karena termasuk ke dalam (+, -, *, /)","Menguji input operator valid karena termasuk ke dalam (+, -, *, /)"
"passed","Sun May 04 12:56:41 WIB 2025","Sun May 04 12:56:41 WIB 2025","2","","ComputeTest","","ComputeTest","testPerformCalculation_InvalidOperator","Test Perform Calculation - Invalid Operator","Menguji pemanggilan modul tidak valid karena bukan modul (add, subtract, multiply, atau divide)"
